Kristin M. Yee,saturday-afternoon,2022,10,1,2,Beauty for Ashes: The Healing Path of Forgiveness,/general-conference/2022/10/23yee,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-2030-kristin-yee-32k-eng.mp3
Paul V. Johnson,saturday-afternoon,2022,10,1,3,Be Perfected in Him,/general-conference/2022/10/24johnson,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-2040-paul-v-johnson-32k-eng.mp3
Ulisses Soares,saturday-afternoon,2022,10,1,4,In Partnership with the Lord,/general-conference/2022/10/25soares,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-2050-ulisses-soares-32k-eng.mp3
James W. McConkie III,saturday-afternoon,2022,10,1,5,And They Sought to See Jesus Who He Was,/general-conference/2022/10/26mcconkie,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-2060-james-w-mcconkie-iii-32k-eng.mp3
Jorge F. Zeballos,saturday-afternoon,2022,10,1,6,Building a Life Resistant to the Adversary,/general-conference/2022/10/27zeballos,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-2070-jorge-f-zeballos-32k-eng.mp3
D. Todd Christofferson,saturday-afternoon,2022,10,1,7,The Doctrine of Belonging,/general-conference/2022/10/28christofferson,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-2080-d-todd-christofferson-32k-eng.mp3
Gérald Caussé,saturday-evening,2022,10,2,0,Our Earthly Stewardship,/general-conference/2022/10/31causse,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-3010-gerald-causse-32k-eng.mp3
Michelle D. Craig,saturday-evening,2022,10,2,1,Wholehearted,/general-conference/2022/10/32craig,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-3020-michelle-d-craig-32k-eng.mp3
Kevin W. Pearson,saturday-evening,2022,10,2,2,Are You Still Willing?,/general-conference/2022/10/33pearson,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-3030-kevin-w-pearson-32k-eng.mp3
Denelson Silva,saturday-evening,2022,10,2,3,Courage to Proclaim the Truth,/general-conference/2022/10/34silva,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-3040-denelson-silva-32k-eng.mp3
Neil L. Andersen,saturday-evening,2022,10,2,4,Drawing Closer to the Savior,/general-conference/2022/10/35andersen,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-3050-neil-l-andersen-32k-eng.mp3
Jeffrey R. Holland,sunday-morning,2022,10,3,0,Lifted Up upon the Cross,/general-conference/2022/10/41holland,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-4010-jeffrey-r-holland-32k-eng.mp3
J. Anette Dennis,sunday-morning,2022,10,3,1,His Yoke Is Easy and His Burden Is Light,/general-conference/2022/10/42dennis,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-4020-j-anette-dennis-32k-eng.mp3
Gerrit W. Gong,sunday-morning,2022,10,3,2,Happy and Forever,/general-conference/2022/10/43gong,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-4030-gerrit-w-gong-32k-eng.mp3
Joseph W. Sitati,sunday-morning,2022,10,3,3,Patterns of Discipleship,/general-conference/2022/10/44sitati,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-4040-joseph-w-sitati-32k-eng.mp3
Steven J. Lund,sunday-morning,2022,10,3,4,Lasting Discipleship,/general-conference/2022/10/45lund,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-4050-steven-j-lund-32k-eng.mp3
David A. Bednar,sunday-morning,2022,10,3,5,"Put On Thy Strength, O Zion",/general-conference/2022/10/46bednar,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-4060-david-a-bednar-32k-eng.mp3
Russell M. Nelson,sunday-morning,2022,10,3,6,Overcome the World and Find Rest,/general-conference/2022/10/47nelson,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-4070-russell-m-nelson-32k-eng.mp3
Henry B. Eyring,sunday-afternoon,2022,10,4,0,Legacy of Encouragement,/general-conference/2022/10/51eyring,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-5010-henry-b-eyring-32k-eng.mp3
Ryan K. Olsen,sunday-afternoon,2022,10,4,1,The Answer Is Jesus,/general-conference/2022/10/52olsen,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-5020-ryan-k-olsen-32k-eng.mp3
Jonathan S. Schmitt,sunday-afternoon,2022,10,4,2,That They Might Know Thee,/general-conference/2022/10/53schmitt,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-5030-jonathan-s-schmitt-32k-eng.mp3
Mark D. Eddy,sunday-afternoon,2022,10,4,3,The Virtue of the Word,/general-conference/2022/10/54eddy,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-5040-mark-d-eddy-32k-eng.mp3
Gary E. Stevenson,sunday-afternoon,2022,10,4,4,Nourishing and Bearing Your Testimony,/general-conference/2022/10/55stevenson,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-5050-gary-e-stevenson-32k-eng.mp3
Isaac K. Morrison,sunday-afternoon,2022,10,4,5,We Can Do Hard Things through Him,/general-conference/2022/10/56morrison,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-5060-isaac-k-morrison-32k-eng.mp3
