"name","type","year","month","session_order","talk_order","title","base_uri","mp3"
"D. Todd Christofferson","priesthood",2018,4,2,2,"El cuórum de élderes","/general-conference/2018/04/the-elders-quorum","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-03-3030-d-todd-christofferson-64k-spa.mp3"
"Ronald A. Rasband","priesthood",2018,4,2,3,"¡Mirad! Reales huestes","/general-conference/2018/04/behold-a-royal-army","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-03-3040-ronald-a-rasband-64k-spa.mp3"
"Henry B. Eyring","priesthood",2018,4,2,4,"El ministerio inspirado","/general-conference/2018/04/inspired-ministering","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-03-3050-henry-b-eyring-64k-spa.mp3"
"Dallin H. Oaks","priesthood",2018,4,2,5,"Los poderes del sacerdocio","/general-conference/2018/04/the-powers-of-the-priesthood","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-03-3060-dallin-h-oaks-64k-spa.mp3"
"Russell M. Nelson","priesthood",2018,4,2,6,"Ministrar con el poder y la autoridad de Dios","/general-conference/2018/04/ministering-with-the-power-and-authority-of-god","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-03-3070-russell-m-nelson-64k-spa.mp3"
"Larry Y. Wilson","sunday-morning",2018,4,3,0,"Tomen al Santo Espíritu por guía","/general-conference/2018/04/take-the-holy-spirit-as-your-guide","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-04-4010-larry-y-wilson-64k-spa.mp3"
"Reyna I. Aburto","sunday-morning",2018,4,3,1,"Unánimes","/general-conference/2018/04/with-one-accord","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-04-4020-reyna-isabel-aburto-64k-spa.mp3"
"Massimo De Feo","sunday-morning",2018,4,3,2,"El amor puro: La verdadera señal de todo verdadero discípulo de Jesucristo","/general-conference/2018/04/pure-love-the-true-sign-of-every-true-disciple-of-jesus-christ","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-04-4030-massimo-de-feo-64k-spa.mp3"
"Claudio D. Zivic","sunday-morning",2018,4,3,3,"El que persevere hasta el fin será salvo","/general-conference/2018/04/he-that-shall-endure-unto-the-end-the-same-shall-be-saved","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-04-4040-claudio-d-zivic-64k-spa.mp3"
"Henry B. Eyring","sunday-morning",2018,4,3,4,"Su Espíritu con ustedes","/general-conference/2018/04/his-spirit-to-be-with-you","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-04-4050-henry-b-eyring-64k-spa.mp3"
"Dallin H. Oaks","sunday-morning",2018,4,3,5,"Cosas pequeñas y sencillas","/general-conference/2018/04/small-and-simple-things","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-04-4060-dallin-h-oaks-64k-spa.mp3"
"Russell M. Nelson","sunday-morning",2018,4,3,6,"Revelación para la Iglesia, revelación para nuestras vidas","/general-conference/2018/04/revelation-for-the-church-revelation-for-our-lives","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-04-4070-russell-m-nelson-64k-spa.mp3"
"Gerrit W. Gong","sunday-afternoon",2018,4,4,0,"Cristo ha resucitado","/general-conference/2018/04/christ-the-lord-is-risen-today","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-04-5010-gerrit-w-gong-64k-spa.mp3"
"Ulisses Soares","sunday-afternoon",2018,4,4,1,"Los profetas hablan por el poder del Santo Espíritu","/general-conference/2018/04/prophets-speak-by-the-power-of-the-holy-spirit","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-04-5020-ulisses-soares-64k-spa.mp3"
"Russell M. Nelson","sunday-afternoon",2018,4,4,2,"Ministrar","/general-conference/2018/04/ministering","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-04-5030-russell-m-nelson-64k-spa.mp3"
"Jeffrey R. Holland","sunday-afternoon",2018,4,4,3,"“Estar con ellos y fortalecerlos”","/general-conference/2018/04/be-with-and-strengthen-them","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-04-5040-jeffrey-r-holland-64k-spa.mp3"
"Jean B. Bingham","sunday-afternoon",2018,4,4,4,"Ministrar como lo hace el Salvador","/general-conference/2018/04/ministering-as-the-savior-does","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-04-5050-jean-b-bingham-64k-spa.mp3"
"Dieter F. Uchtdorf","sunday-afternoon",2018,4,4,5,"¡He aquí el hombre!","/general-conference/2018/04/behold-the-man","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-04-5060-dieter-f-uchtdorf-64k-spa.mp3"
"Gérald Caussé","sunday-afternoon",2018,4,4,6,"Lo importante son las personas","/general-conference/2018/04/it-is-all-about-people","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-04-5070-gerald-causse-64k-spa.mp3"
"Quentin L. Cook","sunday-afternoon",2018,4,4,7,"Prepárense para presentarse ante Dios","/general-conference/2018/04/prepare-to-meet-god","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-04-5080-quentin-l-cook-64k-spa.mp3"
"Russell M. Nelson","sunday-afternoon",2018,4,4,8,"Trabajemos hoy en la obra","/general-conference/2018/04/let-us-all-press-on","https://media2.ldscdn.org/assets/general-conference/april-2018-general-conference/2018-04-5090-russell-m-nelson-64k-spa.mp3"
"Sharon Eubank","women's",2017,10,0,0,"Enciendan su luz","/general-conference/2017/10/turn-on-your-light","https://media2.ldscdn.org/assets/general-conference/october-2017-general-conference/2017-09-0010-sharon-l-eubank-64k-spa.mp3"
"Neill F. Marriott","women's",2017,10,0,1,"Permanecer en Dios y reparar la brecha","/general-conference/2017/10/abiding-in-god-and-repairing-the-breach","https://media2.ldscdn.org/assets/general-conference/october-2017-general-conference/2017-09-0020-neill-f-marriott-64k-spa.mp3"
"Joy D. Jones","women's",2017,10,0,2,"Un valor inconmensurable","/general-conference/2017/10/value-beyond-measure","https://media2.ldscdn.org/assets/general-conference/october-2017-general-conference/2017-09-0030-joy-d-jones-64k-spa.mp3"
"Dieter F. Uchtdorf","women's",2017,10,0,3,"Tres hermanas","/general-conference/2017/10/three-sisters","https://media2.ldscdn.org/assets/general-conference/october-2017-general-conference/2017-09-0040-dieter-f-uchtdorf-64k-spa.mp3"
