"name","type","year","month","session_order","talk_order","title","base_uri","mp3"
"David L. Beck","priesthood",2010,4,2,2,"O Magnífico Sacerdócio Aarônico","/general-conference/2010/04/the-magnificent-aaronic-priesthood","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-3030-david-l-beck-64k-por.mp3"
"Dieter F. Uchtdorf","priesthood",2010,4,2,3,"Prosseguir com Paciência","/general-conference/2010/04/continue-in-patience","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-3040-president-dieter-f-uchtdorf-64k-por.mp3"
"Henry B. Eyring","priesthood",2010,4,2,4,"Agir com Toda a Diligência","/general-conference/2010/04/act-in-all-diligence","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-3050-president-henry-b-eyring-64k-por.mp3"
"Thomas S. Monson","priesthood",2010,4,2,5,"A Preparação Traz Bênçãos","/general-conference/2010/04/preparation-brings-blessings","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-3060-president-thomas-s-monson-64k-por.mp3"
"Dieter F. Uchtdorf","sunday-morning",2010,4,3,0,"“Vós Sois Minhas Mãos”","/general-conference/2010/04/you-are-my-hands","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-4010-president-dieter-f-uchtdorf-64k-por.mp3"
"Richard G. Scott","sunday-morning",2010,4,3,1,"Ele Vive! Glorificado Seja Seu Nome!","/general-conference/2010/04/he-lives-all-glory-to-his-name","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-4020-elder-richard-g-scott-64k-por.mp3"
"Donald L. Hallstrom","sunday-morning",2010,4,3,2,"Voltar-nos para o Senhor","/general-conference/2010/04/turn-to-the-lord","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-4030-elder-donald-l-hallstrom-64k-por.mp3"
"Cheryl C. Lant","sunday-morning",2010,4,3,3,"Que Nossos Filhos Possam Ver a Face do Salvador","/general-conference/2010/04/that-our-children-might-see-the-face-of-the-savior","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-4040-cheryl-c-lant-64k-por.mp3"
"Quentin L. Cook","sunday-morning",2010,4,3,4,"Seguimos Jesus Cristo","/general-conference/2010/04/we-follow-jesus-christ","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-4050-elder-quentin-l-cook-64k-por.mp3"
"Thomas S. Monson","sunday-morning",2010,4,3,5,"“Ele Ressuscitou!”","/general-conference/2010/04/he-is-risen","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-4060-president-thomas-s-monson-64k-por.mp3"
"Russell M. Nelson","sunday-afternoon",2010,4,4,0,"Um Elo de Amor Que Une Gerações","/general-conference/2010/04/generations-linked-in-love","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-5010-elder-russell-m-nelson-64k-por.mp3"
"Robert D. Hales","sunday-afternoon",2010,4,4,1,"Nosso Dever para com Deus: A Missão dos Pais e Líderes para com a Nova Geração","/general-conference/2010/04/our-duty-to-god-the-mission-of-parents-and-leaders-to-the-rising-generation","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-5020-elder-robert-d-hales-64k-por.mp3"
